grid_id,week_start,outbreak_binary,grid_lat,grid_lon,outbreak_count,pred_proba,split_name,model_name,display_label,n_grids_in_week,risk_rank,risk_percentile,top1,top5,top10,top20
G004433,2024-10-21,1,35.87887536332104,140.58450170094858,1,0.0051478924771973765,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,4317.0,0.21398652340193047,False,False,False,False
G001376,2024-10-28,1,35.14767384591075,132.4996641438729,1,0.02162946699683369,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,2532.0,0.5390639227827354,False,False,False,False
G001842,2024-11-04,1,34.187210306310234,133.75730554164022,1,0.11726717635681162,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,3117.0,0.4325259515570934,False,False,False,False
G003462,2024-11-04,1,38.032143327565045,139.5065233600052,1,0.14135114366257093,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,2739.0,0.5013658714259698,False,False,False,False
G005100,2024-11-04,1,38.45545460149992,141.30315392824426,1,0.15878728049400753,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,2285.0,0.5840466217446731,False,False,False,False
G005825,2024-11-11,1,43.73138840989611,142.38113226918765,1,0.004225931231357128,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,5052.0,0.08013112365689312,False,False,False,False
G000508,2024-11-18,1,32.08115028107473,130.34370746198604,1,0.1408834267017833,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,3407.0,0.3797122564195957,False,False,False,False
G002668,2024-11-18,1,35.587194130262716,136.6319144508227,1,0.38721810263297596,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,1125.0,0.7953014022946641,False,False,False,False
G003436,2024-11-25,1,36.16948649196524,139.50652336000516,1,0.6565719603030915,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,507.0,0.9078492077945729,False,False,True,True
G001055,2024-12-02,1,32.233251324742064,131.51151733134142,1,0.8199890724446232,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,2.0,0.9998178838098707,True,True,True,True
G001621,2024-12-09,1,33.88945058720861,133.1284848427566,1,0.7068901362394167,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,224.0,0.9593880896011655,False,True,True,True
G000704,2024-12-16,1,31.776188273421692,130.7928651040458,1,0.5396293904491791,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,1092.0,0.801311236568931,False,False,False,True
G001621,2024-12-16,1,33.88945058720861,133.1284848427566,1,0.6045412286820747,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,516.0,0.9062101620834092,False,False,True,True
G003644,2024-12-23,1,36.16948649196524,139.86584947365296,1,0.6132579456142951,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,106.0,0.9808778000364232,False,True,True,True
G002735,2024-12-30,1,34.85333357833916,136.90140903605854,1,0.46652015504616146,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,194.0,0.9648515753050446,False,True,True,True
G005119,2024-12-30,1,39.77961194861075,141.30315392824423,1,0.0,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,4190.0,0.23711527954835188,False,False,False,False
G005259,2024-12-30,1,40.32968554515822,141.48281698506813,1,0.005221311746309213,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,2951.0,0.4627572391185576,False,False,False,False
G000704,2025-01-06,1,31.776188273421692,130.7928651040458,1,0.4096004381070984,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,1080.0,0.8034966308504826,False,False,False,True
G000933,2025-01-06,1,31.470217456459572,131.24202274610556,1,0.3310361774158614,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,1553.0,0.7173556729193225,False,False,False,False
G002735,2025-01-06,1,34.85333357833916,136.90140903605854,5,0.5404440680692206,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,238.0,0.9568384629393553,False,True,True,True
G005119,2025-01-06,1,39.77961194861075,141.30315392824423,1,0.0,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,4117.0,0.2504097614277909,False,False,False,False
G002735,2025-01-13,1,34.85333357833916,136.90140903605854,2,0.5211102225921546,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,241.0,0.9562921143689674,False,True,True,True
G002736,2025-01-13,1,34.92701787656751,136.90140903605854,3,0.30275658888307905,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,942.0,0.8286286650883263,False,False,False,True
G002735,2025-01-20,1,34.85333357833916,136.90140903605854,1,0.5066835186790978,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,282.0,0.948825350573666,False,False,True,True
G005119,2025-01-20,1,39.77961194861075,141.30315392824423,2,0.0,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,4128.0,0.2484064833363686,False,False,False,False
G002736,2025-01-27,1,34.92701787656751,136.90140903605854,1,0.3945837415074018,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,1134.0,0.7936623565835003,False,False,False,False
G004430,2025-01-27,1,35.66021456351283,140.58450170094864,2,0.38396413949846725,test_fy2024,geo_season_previous_week_weather_neighbor_past,Baseline + neighboring past outbreaks,5491,1251.0,0.7723547623383719,False,False,False,False
